NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.65989E-03,  4.72949E-03,  4.77067E-03,  4.78256E-03,  4.76489E-03,  4.71800E-03,  4.64283E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.23988E-03,  4.44647E-03,  4.63407E-03,  4.79920E-03,  4.93866E-03,  5.04959E-03,  5.12966E-03,  5.17712E-03,  5.19091E-03,  5.17067E-03,  5.11684E-03,  5.03056E-03,  4.91364E-03,  4.76849E-03,  4.59803E-03,  4.40551E-03,  4.19446E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.76444E-03,  4.03751E-03,  4.30226E-03,  4.55457E-03,  4.79019E-03,  5.00482E-03,  5.19428E-03,  5.35468E-03,  5.48255E-03,  5.57501E-03,  5.62992E-03,  5.64596E-03,  5.62270E-03,  5.56067E-03,  5.46127E-03,  5.32672E-03,  5.15999E-03,  4.96461E-03,  4.74455E-03,  4.50403E-03,  4.24739E-03,  3.97891E-03,  3.70271E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.37723E-03,  3.68901E-03,  4.00116E-03,  4.30966E-03,  4.61006E-03,  4.89751E-03,  5.16696E-03,  5.41326E-03,  5.63136E-03,  5.81650E-03,  5.96444E-03,  6.07162E-03,  6.13540E-03,  6.15413E-03,  6.12730E-03,  6.05554E-03,  5.94058E-03,  5.78518E-03,  5.59297E-03,  5.36830E-03,  5.11599E-03,  4.84114E-03,  4.54896E-03,  4.24453E-03,  3.93269E-03,  3.61791E-03,  3.30421E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.87455E-03,  3.20819E-03,  3.55132E-03,  3.90062E-03,  4.25213E-03,  4.60125E-03,  4.94278E-03,  5.27104E-03,  5.58003E-03,  5.86353E-03,  6.11542E-03,  6.32989E-03,  6.50169E-03,  6.62643E-03,  6.70081E-03,  6.72278E-03,  6.69170E-03,  6.60834E-03,  6.47487E-03,  6.29470E-03,  6.07235E-03,  5.81313E-03,  5.52296E-03,  5.20803E-03,  4.87459E-03,  4.52870E-03,  4.17604E-03,  3.82180E-03,  3.47056E-03,  3.12625E-03,  2.79215E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.28580E-03,  2.62245E-03,  2.97676E-03,  3.34661E-03,  3.72917E-03,  4.12079E-03,  4.51705E-03,  4.91271E-03,  5.30174E-03,  5.67748E-03,  6.03273E-03,  6.36004E-03,  6.65194E-03,  6.90127E-03,  7.10155E-03,  7.24732E-03,  7.33443E-03,  7.36032E-03,  7.32416E-03,  7.22693E-03,  7.07133E-03,  6.86165E-03,  6.60347E-03,  6.30340E-03,  5.96869E-03,  5.60687E-03,  5.22548E-03,  4.83173E-03,  4.43231E-03,  4.03322E-03,  3.63969E-03,  3.25609E-03,  2.88600E-03,  2.53218E-03,  2.19669E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.96840E-03,  2.31373E-03,  2.68217E-03,  3.07237E-03,  3.48221E-03,  3.90872E-03,  4.34799E-03,  4.79508E-03,  5.24406E-03,  5.68797E-03,  6.11896E-03,  6.52847E-03,  6.90747E-03,  7.24684E-03,  7.53776E-03,  7.77217E-03,  7.94321E-03,  8.04566E-03,  8.07629E-03,  8.03405E-03,  7.92015E-03,  7.73802E-03,  7.49302E-03,  7.19216E-03,  6.84364E-03,  6.45640E-03,  6.03965E-03,  5.60247E-03,  5.15348E-03,  4.70052E-03,  4.25053E-03,  3.80943E-03,  3.38207E-03,  2.97230E-03,  2.58298E-03,  2.21615E-03,  1.87305E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28615E-03,  1.60476E-03,  1.95141E-03,  2.32625E-03,  2.72885E-03,  3.15806E-03,  3.61185E-03,  4.08720E-03,  4.57995E-03,  5.08469E-03,  5.59471E-03,  6.10199E-03,  6.59732E-03,  7.07050E-03,  7.51060E-03,  7.90645E-03,  8.24712E-03,  8.52254E-03,  8.72406E-03,  8.84508E-03,  8.88148E-03,  8.83191E-03,  8.69791E-03,  8.48382E-03,  8.19644E-03,  7.84457E-03,  7.43846E-03,  6.98917E-03,  6.50798E-03,  6.00588E-03,  5.49313E-03,  4.97894E-03,  4.47129E-03,  3.97684E-03,  3.50091E-03,  3.04758E-03,  2.61975E-03,  2.21933E-03,  1.84734E-03,  1.50410E-03,  1.18935E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.92117E-04,  1.20072E-03,  1.54082E-03,  1.91350E-03,  2.31935E-03,  2.75835E-03,  3.22968E-03,  3.73152E-03,  4.26090E-03,  4.81349E-03,  5.38340E-03,  5.96314E-03,  6.54352E-03,  7.11377E-03,  7.66172E-03,  8.17414E-03,  8.63731E-03,  9.03764E-03,  9.36248E-03,  9.60090E-03,  9.74447E-03,  9.78790E-03,  9.72947E-03,  9.57114E-03,  9.31845E-03,  8.98004E-03,  8.56706E-03,  8.09235E-03,  7.56966E-03,  7.01285E-03,  6.43520E-03,  5.84895E-03,  5.26486E-03,  4.69208E-03,  4.13802E-03,  3.60845E-03,  3.10758E-03,  2.63826E-03,  2.20214E-03,  1.79989E-03,  1.43140E-03,  1.09593E-03,  7.92301E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.72240E-04,  7.63848E-04,  1.08946E-03,  1.45106E-03,  1.85030E-03,  2.28835E-03,  2.76576E-03,  3.28218E-03,  3.83618E-03,  4.42498E-03,  5.04417E-03,  5.68749E-03,  6.34665E-03,  7.01120E-03,  7.66858E-03,  8.30430E-03,  8.90236E-03,  9.44587E-03,  9.91788E-03,  1.03025E-02,  1.05857E-02,  1.07567E-02,  1.08087E-02,  1.07396E-02,  1.05517E-02,  1.02522E-02,  9.85220E-03,  9.36584E-03,  8.80932E-03,  8.19977E-03,  7.55422E-03,  6.88877E-03,  6.21795E-03,  5.55432E-03,  4.90824E-03,  4.28791E-03,  3.69945E-03,  3.14710E-03,  2.63346E-03,  2.15979E-03,  1.72625E-03,  1.33213E-03,  9.76102E-04,  6.56359E-04,  3.70806E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
