NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.14042E-02, -3.15557E-02, -3.16821E-02, -3.17816E-02, -3.18525E-02, -3.18932E-02, -3.19024E-02, -3.18789E-02, -3.18219E-02, -3.17308E-02, -3.16056E-02, -3.14465E-02, -3.12545E-02, -3.10310E-02, -3.07780E-02, -3.04983E-02, -3.01951E-02, -2.98725E-02, -2.95353E-02, -2.91887E-02, -2.88384E-02, -2.84908E-02, -2.81525E-02, -2.78299E-02, -2.75298E-02, -2.72586E-02, -2.70223E-02, -2.68262E-02, -2.66750E-02, -2.65721E-02, -2.65200E-02, -2.65200E-02, -2.65721E-02, -2.66750E-02, -2.68262E-02, -2.70223E-02, -2.72586E-02, -2.75297E-02, -2.78298E-02, -2.81524E-02, -2.84908E-02, -2.88384E-02, -2.91886E-02, -2.95353E-02, -2.98725E-02, -3.01950E-02, -3.04982E-02, -3.07780E-02, -3.10309E-02, -3.12545E-02, -3.14465E-02, -3.16055E-02, -3.17307E-02, -3.18218E-02, -3.18788E-02, -3.19023E-02, -3.18931E-02, -3.18524E-02, -3.17816E-02, -3.16821E-02, -3.15557E-02, -3.14041E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -3.19524E-02, -3.21418E-02, -3.23061E-02, -3.24432E-02, -3.25510E-02, -3.26276E-02, -3.26710E-02, -3.26795E-02, -3.26517E-02, -3.25863E-02, -3.24826E-02, -3.23403E-02, -3.21594E-02, -3.19407E-02, -3.16856E-02, -3.13963E-02, -3.10756E-02, -3.07272E-02, -3.03557E-02, -2.99662E-02, -2.95649E-02, -2.91584E-02, -2.87541E-02, -2.83596E-02, -2.79828E-02, -2.76316E-02, -2.73138E-02, -2.70365E-02, -2.68060E-02, -2.66281E-02, -2.65070E-02, -2.64457E-02, -2.64457E-02, -2.65070E-02, -2.66281E-02, -2.68060E-02, -2.70364E-02, -2.73138E-02, -2.76316E-02, -2.79828E-02, -2.83596E-02, -2.87541E-02, -2.91584E-02, -2.95648E-02, -2.99662E-02, -3.03556E-02, -3.07272E-02, -3.10755E-02, -3.13963E-02, -3.16856E-02, -3.19406E-02, -3.21593E-02, -3.23402E-02, -3.24826E-02, -3.25863E-02, -3.26516E-02, -3.26795E-02, -3.26709E-02, -3.26276E-02, -3.25510E-02, -3.24431E-02, -3.23060E-02, -3.21417E-02, -3.19524E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -3.24835E-02, -3.27139E-02, -3.29200E-02, -3.30992E-02, -3.32491E-02, -3.33673E-02, -3.34512E-02, -3.34987E-02, -3.35077E-02, -3.34762E-02, -3.34027E-02, -3.32860E-02, -3.31255E-02, -3.29211E-02, -3.26732E-02, -3.23833E-02, -3.20534E-02, -3.16866E-02, -3.12870E-02, -3.08595E-02, -3.04100E-02, -2.99457E-02, -2.94740E-02, -2.90035E-02, -2.85434E-02, -2.81029E-02, -2.76915E-02, -2.73184E-02, -2.69923E-02, -2.67211E-02, -2.65115E-02, -2.63686E-02, -2.62963E-02, -2.62963E-02, -2.63686E-02, -2.65115E-02, -2.67211E-02, -2.69923E-02, -2.73183E-02, -2.76915E-02, -2.81028E-02, -2.85433E-02, -2.90034E-02, -2.94739E-02, -2.99456E-02, -3.04099E-02, -3.08594E-02, -3.12869E-02, -3.16865E-02, -3.20533E-02, -3.23832E-02, -3.26731E-02, -3.29210E-02, -3.31254E-02, -3.32859E-02, -3.34026E-02, -3.34761E-02, -3.35076E-02, -3.34987E-02, -3.34512E-02, -3.33672E-02, -3.32491E-02, -3.30992E-02, -3.29200E-02, -3.27139E-02, -3.24834E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -3.29909E-02, -3.32653E-02, -3.35165E-02, -3.37419E-02, -3.39386E-02, -3.41037E-02, -3.42344E-02, -3.43279E-02, -3.43813E-02, -3.43921E-02, -3.43580E-02, -3.42768E-02, -3.41471E-02, -3.39676E-02, -3.37379E-02, -3.34583E-02, -3.31299E-02, -3.27548E-02, -3.23363E-02, -3.18786E-02, -3.13873E-02, -3.08690E-02, -3.03316E-02, -2.97842E-02, -2.92366E-02, -2.86994E-02, -2.81839E-02, -2.77013E-02, -2.72627E-02, -2.68787E-02, -2.65587E-02, -2.63111E-02, -2.61422E-02, -2.60567E-02, -2.60567E-02, -2.61422E-02, -2.63111E-02, -2.65587E-02, -2.68786E-02, -2.72626E-02, -2.77012E-02, -2.81838E-02, -2.86994E-02, -2.92365E-02, -2.97841E-02, -3.03316E-02, -3.08689E-02, -3.13872E-02, -3.18785E-02, -3.23362E-02, -3.27548E-02, -3.31298E-02, -3.34582E-02, -3.37378E-02, -3.39675E-02, -3.41470E-02, -3.42768E-02, -3.43579E-02, -3.43921E-02, -3.43812E-02, -3.43278E-02, -3.42344E-02, -3.41037E-02, -3.39385E-02, -3.37419E-02, -3.35165E-02, -3.32653E-02, -3.29908E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -3.31290E-02, -3.34682E-02, -3.37888E-02, -3.40880E-02, -3.43630E-02, -3.46107E-02, -3.48277E-02, -3.50110E-02, -3.51570E-02, -3.52625E-02, -3.53241E-02, -3.53387E-02, -3.53034E-02, -3.52155E-02, -3.50727E-02, -3.48736E-02, -3.46171E-02, -3.43031E-02, -3.39325E-02, -3.35073E-02, -3.30307E-02, -3.25073E-02, -3.19431E-02, -3.13457E-02, -3.07241E-02, -3.00885E-02, -2.94505E-02, -2.88228E-02, -2.82187E-02, -2.76515E-02, -2.71350E-02, -2.66818E-02, -2.63035E-02, -2.60103E-02, -2.58103E-02, -2.57088E-02, -2.57088E-02, -2.58102E-02, -2.60103E-02, -2.63035E-02, -2.66817E-02, -2.71349E-02, -2.76515E-02, -2.82186E-02, -2.88228E-02, -2.94504E-02, -3.00884E-02, -3.07240E-02, -3.13457E-02, -3.19430E-02, -3.25072E-02, -3.30306E-02, -3.35072E-02, -3.39325E-02, -3.43030E-02, -3.46170E-02, -3.48735E-02, -3.50727E-02, -3.52154E-02, -3.53033E-02, -3.53387E-02, -3.53240E-02, -3.52624E-02, -3.51569E-02, -3.50109E-02, -3.48277E-02, -3.46106E-02, -3.43630E-02, -3.40880E-02, -3.37887E-02, -3.34681E-02, -3.31290E-02,NA,NA,NA,NA,
NA,NA,NA,NA, -3.39091E-02, -3.42774E-02, -3.46268E-02, -3.49542E-02, -3.52563E-02, -3.55296E-02, -3.57705E-02, -3.59752E-02, -3.61398E-02, -3.62604E-02, -3.63331E-02, -3.63539E-02, -3.63193E-02, -3.62259E-02, -3.60709E-02, -3.58518E-02, -3.55671E-02, -3.52161E-02, -3.47994E-02, -3.43186E-02, -3.37769E-02, -3.31793E-02, -3.25320E-02, -3.18438E-02, -3.11245E-02, -3.03862E-02, -2.96424E-02, -2.89081E-02, -2.81989E-02, -2.75313E-02, -2.69216E-02, -2.63854E-02, -2.59371E-02, -2.55892E-02, -2.53514E-02, -2.52308E-02, -2.52307E-02, -2.53514E-02, -2.55892E-02, -2.59371E-02, -2.63854E-02, -2.69216E-02, -2.75312E-02, -2.81988E-02, -2.89080E-02, -2.96423E-02, -3.03861E-02, -3.11244E-02, -3.18437E-02, -3.25319E-02, -3.31792E-02, -3.37768E-02, -3.43185E-02, -3.47993E-02, -3.52160E-02, -3.55670E-02, -3.58517E-02, -3.60708E-02, -3.62259E-02, -3.63192E-02, -3.63539E-02, -3.63330E-02, -3.62604E-02, -3.61398E-02, -3.59751E-02, -3.57704E-02, -3.55295E-02, -3.52562E-02, -3.49541E-02, -3.46268E-02, -3.42774E-02, -3.39091E-02,NA,NA,NA,NA,
NA,NA,NA, -3.43077E-02, -3.47246E-02, -3.51254E-02, -3.55071E-02, -3.58663E-02, -3.61992E-02, -3.65021E-02, -3.67708E-02, -3.70010E-02, -3.71881E-02, -3.73275E-02, -3.74146E-02, -3.74448E-02, -3.74135E-02, -3.73166E-02, -3.71502E-02, -3.69112E-02, -3.65973E-02, -3.62069E-02, -3.57400E-02, -3.51979E-02, -3.45836E-02, -3.39020E-02, -3.31603E-02, -3.23675E-02, -3.15352E-02, -3.06772E-02, -2.98092E-02, -2.89488E-02, -2.81150E-02, -2.73274E-02, -2.66061E-02, -2.59701E-02, -2.54373E-02, -2.50231E-02, -2.47396E-02, -2.45957E-02, -2.45957E-02, -2.47396E-02, -2.50230E-02, -2.54373E-02, -2.59700E-02, -2.66060E-02, -2.73273E-02, -2.81149E-02, -2.89487E-02, -2.98091E-02, -3.06771E-02, -3.15351E-02, -3.23674E-02, -3.31602E-02, -3.39019E-02, -3.45835E-02, -3.51978E-02, -3.57399E-02, -3.62068E-02, -3.65972E-02, -3.69111E-02, -3.71501E-02, -3.73165E-02, -3.74134E-02, -3.74447E-02, -3.74146E-02, -3.73274E-02, -3.71880E-02, -3.70009E-02, -3.67708E-02, -3.65021E-02, -3.61992E-02, -3.58662E-02, -3.55071E-02, -3.51254E-02, -3.47245E-02, -3.43076E-02,NA,NA,NA,
NA,NA, -3.46585E-02, -3.51240E-02, -3.55768E-02, -3.60138E-02, -3.64317E-02, -3.68268E-02, -3.71950E-02, -3.75319E-02, -3.78329E-02, -3.80931E-02, -3.83072E-02, -3.84699E-02, -3.85757E-02, -3.86190E-02, -3.85944E-02, -3.84966E-02, -3.83207E-02, -3.80625E-02, -3.77186E-02, -3.72866E-02, -3.67656E-02, -3.61561E-02, -3.54609E-02, -3.46849E-02, -3.38355E-02, -3.29227E-02, -3.19594E-02, -3.09614E-02, -2.99474E-02, -2.89378E-02, -2.79555E-02, -2.70244E-02, -2.61688E-02, -2.54123E-02, -2.47770E-02, -2.42821E-02, -2.39431E-02, -2.37708E-02, -2.37708E-02, -2.39431E-02, -2.42821E-02, -2.47769E-02, -2.54123E-02, -2.61687E-02, -2.70243E-02, -2.79554E-02, -2.89376E-02, -2.99473E-02, -3.09613E-02, -3.19592E-02, -3.29225E-02, -3.38353E-02, -3.46848E-02, -3.54608E-02, -3.61560E-02, -3.67654E-02, -3.72865E-02, -3.77185E-02, -3.80624E-02, -3.83206E-02, -3.84965E-02, -3.85943E-02, -3.86189E-02, -3.85756E-02, -3.84698E-02, -3.83071E-02, -3.80930E-02, -3.78328E-02, -3.75318E-02, -3.71949E-02, -3.68267E-02, -3.64317E-02, -3.60138E-02, -3.55767E-02, -3.51239E-02, -3.46585E-02,NA,NA,
NA, -3.49569E-02, -3.54701E-02, -3.59745E-02, -3.64670E-02, -3.69443E-02, -3.74028E-02, -3.78383E-02, -3.82465E-02, -3.86224E-02, -3.89610E-02, -3.92565E-02, -3.95030E-02, -3.96942E-02, -3.98238E-02, -3.98850E-02, -3.98712E-02, -3.97761E-02, -3.95933E-02, -3.93173E-02, -3.89435E-02, -3.84680E-02, -3.78889E-02, -3.72059E-02, -3.64210E-02, -3.55387E-02, -3.45668E-02, -3.35161E-02, -3.24012E-02, -3.12398E-02, -3.00535E-02, -2.88670E-02, -2.77074E-02, -2.66039E-02, -2.55861E-02, -2.46834E-02, -2.39232E-02, -2.33299E-02, -2.29228E-02, -2.27156E-02, -2.27156E-02, -2.29228E-02, -2.33298E-02, -2.39232E-02, -2.46833E-02, -2.55860E-02, -2.66038E-02, -2.77073E-02, -2.88669E-02, -3.00534E-02, -3.12397E-02, -3.24010E-02, -3.35160E-02, -3.45667E-02, -3.55386E-02, -3.64209E-02, -3.72058E-02, -3.78888E-02, -3.84679E-02, -3.89433E-02, -3.93172E-02, -3.95932E-02, -3.97760E-02, -3.98711E-02, -3.98849E-02, -3.98237E-02, -3.96941E-02, -3.95029E-02, -3.92564E-02, -3.89609E-02, -3.86224E-02, -3.82464E-02, -3.78382E-02, -3.74027E-02, -3.69443E-02, -3.64669E-02, -3.59744E-02, -3.54701E-02, -3.49568E-02,NA,
 -3.51988E-02, -3.57583E-02, -3.63129E-02, -3.68600E-02, -3.73963E-02, -3.79183E-02, -3.84220E-02, -3.89031E-02, -3.93567E-02, -3.97774E-02, -4.01594E-02, -4.04963E-02, -4.07814E-02, -4.10074E-02, -4.11668E-02, -4.12517E-02, -4.12542E-02, -4.11663E-02, -4.09803E-02, -4.06890E-02, -4.02859E-02, -3.97658E-02, -3.91251E-02, -3.83622E-02, -3.74782E-02, -3.64769E-02, -3.53660E-02, -3.41572E-02, -3.28662E-02, -3.15137E-02, -3.01243E-02, -2.87274E-02, -2.73554E-02, -2.60440E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.60439E-02, -2.73553E-02, -2.87272E-02, -3.01242E-02, -3.15135E-02, -3.28660E-02, -3.41570E-02, -3.53658E-02, -3.64767E-02, -3.74780E-02, -3.83621E-02, -3.91250E-02, -3.97657E-02, -4.02857E-02, -4.06888E-02, -4.09802E-02, -4.11662E-02, -4.12541E-02, -4.12516E-02, -4.11667E-02, -4.10073E-02, -4.07813E-02, -4.04962E-02, -4.01593E-02, -3.97774E-02, -3.93567E-02, -3.89031E-02, -3.84220E-02, -3.79182E-02, -3.73962E-02, -3.68599E-02, -3.63129E-02, -3.57582E-02, -3.51987E-02,
