NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.28790E-02, -4.31679E-02, -4.34480E-02, -4.37186E-02, -4.39792E-02, -4.42289E-02, -4.44673E-02, -4.46938E-02, -4.49078E-02, -4.51091E-02, -4.52971E-02, -4.54717E-02, -4.56327E-02, -4.57801E-02, -4.59139E-02, -4.60344E-02, -4.61418E-02, -4.62366E-02, -4.63195E-02, -4.63910E-02, -4.64519E-02, -4.65031E-02, -4.65456E-02, -4.65802E-02, -4.66078E-02, -4.66295E-02, -4.66461E-02, -4.66584E-02, -4.66670E-02, -4.66724E-02, -4.66750E-02, -4.66750E-02, -4.66724E-02, -4.66670E-02, -4.66584E-02, -4.66462E-02, -4.66296E-02, -4.66079E-02, -4.65802E-02, -4.65457E-02, -4.65032E-02, -4.64520E-02, -4.63911E-02, -4.63196E-02, -4.62368E-02, -4.61419E-02, -4.60345E-02, -4.59140E-02, -4.57802E-02, -4.56329E-02, -4.54719E-02, -4.52973E-02, -4.51092E-02, -4.49080E-02, -4.46940E-02, -4.44675E-02, -4.42291E-02, -4.39793E-02, -4.37188E-02, -4.34482E-02, -4.31681E-02, -4.28792E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -4.32192E-02, -4.35294E-02, -4.38311E-02, -4.41236E-02, -4.44061E-02, -4.46778E-02, -4.49380E-02, -4.51861E-02, -4.54215E-02, -4.56434E-02, -4.58516E-02, -4.60454E-02, -4.62248E-02, -4.63894E-02, -4.65392E-02, -4.66742E-02, -4.67948E-02, -4.69013E-02, -4.69942E-02, -4.70741E-02, -4.71419E-02, -4.71985E-02, -4.72449E-02, -4.72822E-02, -4.73115E-02, -4.73340E-02, -4.73509E-02, -4.73631E-02, -4.73716E-02, -4.73772E-02, -4.73806E-02, -4.73822E-02, -4.73822E-02, -4.73806E-02, -4.73773E-02, -4.73716E-02, -4.73631E-02, -4.73509E-02, -4.73341E-02, -4.73116E-02, -4.72823E-02, -4.72450E-02, -4.71986E-02, -4.71420E-02, -4.70742E-02, -4.69943E-02, -4.69014E-02, -4.67950E-02, -4.66744E-02, -4.65393E-02, -4.63895E-02, -4.62250E-02, -4.60456E-02, -4.58518E-02, -4.56436E-02, -4.54217E-02, -4.51863E-02, -4.49382E-02, -4.46780E-02, -4.44063E-02, -4.41238E-02, -4.38313E-02, -4.35296E-02, -4.32194E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.35432E-02, -4.38755E-02, -4.41998E-02, -4.45153E-02, -4.48210E-02, -4.51162E-02, -4.53999E-02, -4.56714E-02, -4.59299E-02, -4.61747E-02, -4.64051E-02, -4.66206E-02, -4.68205E-02, -4.70047E-02, -4.71729E-02, -4.73249E-02, -4.74609E-02, -4.75810E-02, -4.76858E-02, -4.77758E-02, -4.78518E-02, -4.79148E-02, -4.79658E-02, -4.80060E-02, -4.80367E-02, -4.80594E-02, -4.80754E-02, -4.80862E-02, -4.80928E-02, -4.80966E-02, -4.80986E-02, -4.80994E-02, -4.80997E-02, -4.80997E-02, -4.80994E-02, -4.80986E-02, -4.80967E-02, -4.80929E-02, -4.80862E-02, -4.80755E-02, -4.80595E-02, -4.80368E-02, -4.80061E-02, -4.79659E-02, -4.79149E-02, -4.78520E-02, -4.77760E-02, -4.76860E-02, -4.75812E-02, -4.74610E-02, -4.73251E-02, -4.71731E-02, -4.70049E-02, -4.68207E-02, -4.66208E-02, -4.64053E-02, -4.61749E-02, -4.59301E-02, -4.56716E-02, -4.54001E-02, -4.51164E-02, -4.48212E-02, -4.45155E-02, -4.42000E-02, -4.38757E-02, -4.35434E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -4.38487E-02, -4.42039E-02, -4.45517E-02, -4.48912E-02, -4.52214E-02, -4.55414E-02, -4.58502E-02, -4.61469E-02, -4.64306E-02, -4.67003E-02, -4.69552E-02, -4.71947E-02, -4.74179E-02, -4.76243E-02, -4.78135E-02, -4.79851E-02, -4.81392E-02, -4.82756E-02, -4.83948E-02, -4.84970E-02, -4.85832E-02, -4.86540E-02, -4.87107E-02, -4.87545E-02, -4.87869E-02, -4.88095E-02, -4.88239E-02, -4.88318E-02, -4.88348E-02, -4.88346E-02, -4.88325E-02, -4.88298E-02, -4.88274E-02, -4.88261E-02, -4.88261E-02, -4.88274E-02, -4.88298E-02, -4.88325E-02, -4.88346E-02, -4.88349E-02, -4.88318E-02, -4.88240E-02, -4.88096E-02, -4.87871E-02, -4.87547E-02, -4.87108E-02, -4.86542E-02, -4.85833E-02, -4.84972E-02, -4.83949E-02, -4.82758E-02, -4.81394E-02, -4.79853E-02, -4.78137E-02, -4.76245E-02, -4.74181E-02, -4.71949E-02, -4.69555E-02, -4.67005E-02, -4.64308E-02, -4.61471E-02, -4.58504E-02, -4.55416E-02, -4.52216E-02, -4.48914E-02, -4.45519E-02, -4.42041E-02, -4.38489E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -4.37492E-02, -4.41336E-02, -4.45122E-02, -4.48843E-02, -4.52487E-02, -4.56045E-02, -4.59506E-02, -4.62860E-02, -4.66096E-02, -4.69203E-02, -4.72171E-02, -4.74989E-02, -4.77648E-02, -4.80140E-02, -4.82455E-02, -4.84587E-02, -4.86531E-02, -4.88283E-02, -4.89841E-02, -4.91206E-02, -4.92380E-02, -4.93368E-02, -4.94178E-02, -4.94821E-02, -4.95309E-02, -4.95658E-02, -4.95884E-02, -4.96008E-02, -4.96048E-02, -4.96025E-02, -4.95960E-02, -4.95871E-02, -4.95777E-02, -4.95693E-02, -4.95629E-02, -4.95595E-02, -4.95595E-02, -4.95629E-02, -4.95693E-02, -4.95778E-02, -4.95872E-02, -4.95961E-02, -4.96026E-02, -4.96049E-02, -4.96009E-02, -4.95886E-02, -4.95659E-02, -4.95311E-02, -4.94823E-02, -4.94180E-02, -4.93370E-02, -4.92381E-02, -4.91208E-02, -4.89843E-02, -4.88285E-02, -4.86533E-02, -4.84589E-02, -4.82457E-02, -4.80142E-02, -4.77651E-02, -4.74991E-02, -4.72173E-02, -4.69205E-02, -4.66098E-02, -4.62862E-02, -4.59509E-02, -4.56047E-02, -4.52489E-02, -4.48845E-02, -4.45125E-02, -4.41338E-02, -4.37494E-02,NA,NA,NA,NA,
NA,NA,NA,NA, -4.43957E-02, -4.47983E-02, -4.51951E-02, -4.55852E-02, -4.59675E-02, -4.63409E-02, -4.67042E-02, -4.70562E-02, -4.73958E-02, -4.77217E-02, -4.80327E-02, -4.83277E-02, -4.86056E-02, -4.88652E-02, -4.91057E-02, -4.93262E-02, -4.95261E-02, -4.97048E-02, -4.98622E-02, -4.99982E-02, -5.01130E-02, -5.02072E-02, -5.02818E-02, -5.03378E-02, -5.03768E-02, -5.04006E-02, -5.04112E-02, -5.04108E-02, -5.04020E-02, -5.03871E-02, -5.03688E-02, -5.03492E-02, -5.03307E-02, -5.03150E-02, -5.03037E-02, -5.02978E-02, -5.02978E-02, -5.03037E-02, -5.03151E-02, -5.03307E-02, -5.03493E-02, -5.03688E-02, -5.03872E-02, -5.04021E-02, -5.04109E-02, -5.04113E-02, -5.04007E-02, -5.03770E-02, -5.03380E-02, -5.02820E-02, -5.02074E-02, -5.01132E-02, -4.99984E-02, -4.98624E-02, -4.97051E-02, -4.95263E-02, -4.93265E-02, -4.91060E-02, -4.88655E-02, -4.86058E-02, -4.83280E-02, -4.80330E-02, -4.77219E-02, -4.73960E-02, -4.70564E-02, -4.67044E-02, -4.63411E-02, -4.59677E-02, -4.55855E-02, -4.51954E-02, -4.47985E-02, -4.43960E-02,NA,NA,NA,NA,
NA,NA,NA, -4.46332E-02, -4.50598E-02, -4.54817E-02, -4.58980E-02, -4.63075E-02, -4.67090E-02, -4.71014E-02, -4.74833E-02, -4.78534E-02, -4.82103E-02, -4.85528E-02, -4.88794E-02, -4.91888E-02, -4.94797E-02, -4.97508E-02, -5.00011E-02, -5.02294E-02, -5.04351E-02, -5.06175E-02, -5.07762E-02, -5.09111E-02, -5.10225E-02, -5.11109E-02, -5.11774E-02, -5.12232E-02, -5.12501E-02, -5.12602E-02, -5.12559E-02, -5.12399E-02, -5.12152E-02, -5.11848E-02, -5.11518E-02, -5.11190E-02, -5.10891E-02, -5.10645E-02, -5.10470E-02, -5.10379E-02, -5.10379E-02, -5.10470E-02, -5.10645E-02, -5.10891E-02, -5.11190E-02, -5.11518E-02, -5.11849E-02, -5.12153E-02, -5.12400E-02, -5.12560E-02, -5.12603E-02, -5.12502E-02, -5.12234E-02, -5.11776E-02, -5.11111E-02, -5.10227E-02, -5.09113E-02, -5.07764E-02, -5.06177E-02, -5.04354E-02, -5.02297E-02, -5.00013E-02, -4.97511E-02, -4.94799E-02, -4.91890E-02, -4.88796E-02, -4.85530E-02, -4.82106E-02, -4.78536E-02, -4.74835E-02, -4.71016E-02, -4.67093E-02, -4.63078E-02, -4.58983E-02, -4.54820E-02, -4.50600E-02, -4.46334E-02,NA,NA,NA,
NA,NA, -4.48440E-02, -4.52946E-02, -4.57418E-02, -4.61845E-02, -4.66217E-02, -4.70521E-02, -4.74744E-02, -4.78872E-02, -4.82893E-02, -4.86790E-02, -4.90549E-02, -4.94155E-02, -4.97592E-02, -5.00844E-02, -5.03896E-02, -5.06733E-02, -5.09343E-02, -5.11713E-02, -5.13833E-02, -5.15695E-02, -5.17293E-02, -5.18626E-02, -5.19696E-02, -5.20508E-02, -5.21073E-02, -5.21406E-02, -5.21527E-02, -5.21461E-02, -5.21235E-02, -5.20884E-02, -5.20442E-02, -5.19946E-02, -5.19434E-02, -5.18941E-02, -5.18502E-02, -5.18145E-02, -5.17893E-02, -5.17763E-02, -5.17763E-02, -5.17893E-02, -5.18145E-02, -5.18503E-02, -5.18942E-02, -5.19435E-02, -5.19947E-02, -5.20443E-02, -5.20885E-02, -5.21237E-02, -5.21462E-02, -5.21529E-02, -5.21408E-02, -5.21075E-02, -5.20510E-02, -5.19698E-02, -5.18629E-02, -5.17296E-02, -5.15697E-02, -5.13836E-02, -5.11716E-02, -5.09346E-02, -5.06736E-02, -5.03898E-02, -5.00846E-02, -4.97595E-02, -4.94158E-02, -4.90552E-02, -4.86793E-02, -4.82895E-02, -4.78875E-02, -4.74746E-02, -4.70523E-02, -4.66220E-02, -4.61848E-02, -4.57421E-02, -4.52948E-02, -4.48442E-02,NA,NA,
NA, -4.50263E-02, -4.55007E-02, -4.59731E-02, -4.64423E-02, -4.69073E-02, -4.73669E-02, -4.78197E-02, -4.82645E-02, -4.86996E-02, -4.91236E-02, -4.95348E-02, -4.99314E-02, -5.03119E-02, -5.06743E-02, -5.10169E-02, -5.13380E-02, -5.16358E-02, -5.19087E-02, -5.21552E-02, -5.23741E-02, -5.25644E-02, -5.27252E-02, -5.28564E-02, -5.29579E-02, -5.30303E-02, -5.30747E-02, -5.30929E-02, -5.30871E-02, -5.30601E-02, -5.30153E-02, -5.29567E-02, -5.28885E-02, -5.28153E-02, -5.27416E-02, -5.26720E-02, -5.26106E-02, -5.25610E-02, -5.25263E-02, -5.25084E-02, -5.25084E-02, -5.25263E-02, -5.25611E-02, -5.26107E-02, -5.26721E-02, -5.27417E-02, -5.28154E-02, -5.28887E-02, -5.29569E-02, -5.30155E-02, -5.30602E-02, -5.30873E-02, -5.30931E-02, -5.30750E-02, -5.30305E-02, -5.29581E-02, -5.28566E-02, -5.27255E-02, -5.25646E-02, -5.23744E-02, -5.21555E-02, -5.19090E-02, -5.16361E-02, -5.13383E-02, -5.10172E-02, -5.06746E-02, -5.03122E-02, -4.99317E-02, -4.95350E-02, -4.91239E-02, -4.86999E-02, -4.82648E-02, -4.78200E-02, -4.73672E-02, -4.69076E-02, -4.64426E-02, -4.59733E-02, -4.55010E-02, -4.50266E-02,NA,
 -4.51788E-02, -4.56764E-02, -4.61735E-02, -4.66690E-02, -4.71617E-02, -4.76506E-02, -4.81343E-02, -4.86115E-02, -4.90805E-02, -4.95398E-02, -4.99876E-02, -5.04222E-02, -5.08417E-02, -5.12440E-02, -5.16272E-02, -5.19892E-02, -5.23279E-02, -5.26413E-02, -5.29276E-02, -5.31848E-02, -5.34115E-02, -5.36063E-02, -5.37682E-02, -5.38967E-02, -5.39916E-02, -5.40535E-02, -5.40836E-02, -5.40836E-02, -5.40561E-02, -5.40045E-02, -5.39327E-02, -5.38454E-02, -5.37479E-02, -5.36455E-02, -5.35441E-02, -5.34492E-02, -5.33660E-02, -5.32992E-02, -5.32525E-02, -5.32285E-02, -5.32285E-02, -5.32526E-02, -5.32993E-02, -5.33661E-02, -5.34493E-02, -5.35442E-02, -5.36456E-02, -5.37480E-02, -5.38456E-02, -5.39329E-02, -5.40047E-02, -5.40563E-02, -5.40838E-02, -5.40838E-02, -5.40538E-02, -5.39919E-02, -5.38969E-02, -5.37685E-02, -5.36066E-02, -5.34118E-02, -5.31851E-02, -5.29279E-02, -5.26416E-02, -5.23282E-02, -5.19895E-02, -5.16275E-02, -5.12443E-02, -5.08420E-02, -5.04226E-02, -4.99879E-02, -4.95401E-02, -4.90808E-02, -4.86117E-02, -4.81346E-02, -4.76509E-02, -4.71620E-02, -4.66692E-02, -4.61738E-02, -4.56767E-02, -4.51790E-02,
